market_cap,price,volume_24h
9.67282536742071,9.942756120985658,3.7435107791712112
1.8674518518449632,0.23333325442889197,1.9092601997993799
0.5825869500604904,-0.10815712206046511,0.5227260005356883
0.5786802420398649,-0.10831130599343823,8.882288629646098
0.35239319762342797,-0.03534012933936597,-0.02797369002385223
0.29891370021994473,-0.08892984576651734,0.09717104911445282
0.08844780599355037,-0.10838606606143583,0.03462091452608864
0.08124682613318061,-0.10831120380945448,0.40204152328821274
0.005992209669056994,-0.10832120095760926,-0.095660145010565
-0.0647821841428769,-0.10839700942316655,-0.1091968237295274
-0.09219432260802682,-0.10470018922939549,-0.15751070547923426
-0.09564742142147158,-0.1079364966123322,-0.039489039039670985
-0.0978423415668581,-0.10786439556502686,-0.17575113700037956
-0.10129226622632873,-0.10837695514497613,-0.13980946963982743
-0.10286071738219514,-0.10842118174055451,-0.14981705407644438
-0.10417937346497175,-0.10640571747506566,-0.1381330592155337
-0.11286202833585403,-0.10839215925876534,-0.14778938576262185
-0.1164281972718129,-0.10774617653581638,-0.1692775884311725
-0.12172018447777125,-0.1074138153913026,-0.19781875007963468
-0.12311217838491507,-0.06285032536404297,-0.15209846487029263
-0.12606755819200702,-0.1077185215345118,-0.12714488333813748
-0.12679560213407376,-0.10704160166660777,-0.1712935169444439
-0.12864666997589527,-0.09793220200198646,-0.14409438929583732
-0.1303257658197961,-0.10842118216885471,-0.09002536619045927
-0.13283790478689445,-0.10630633629233509,-0.18006521464431677
-0.1363056807475407,-0.10831130321940906,-0.18918248625114745
-0.13857266676271382,-0.10831118752159302,-0.18941078316724863
-0.138850187050131,-0.10792347492448959,-0.1696607139604226
-0.14207878659649342,-0.10751185326476541,-0.16763373269103854
-0.14299897298871445,-0.10737682983495869,-0.17995904290150852
-0.14643877534592456,-0.07977086922845758,-0.1555610805897113
-0.14848243574832587,-0.08729746153529147,-0.190833565880836
-0.14850863157407945,-0.10830553189879813,-0.1869015333558769
-0.14854617959722619,-0.10583775843298159,-0.17677714243832476
-0.14862128723946214,-0.10837520905331582,-0.18210272301516603
-0.14887067090897182,-0.10802355929119886,-0.19231620866296698
-0.14908410267127326,-0.10840697742291247,-0.19531791588001127
-0.14939980191622776,-0.10770435178863108,-0.16454870606181346
-0.14968072479840344,-0.10841667179752008,-0.18951890725486456
-0.1499479747895023,-0.06422497694787314,-0.1725470431101207
-0.15174334372202156,-0.1079000166722902,-0.17558831238036404
-0.15214734540779187,-0.10829157157405966,-0.16672849152236152
-0.15231195864744684,-0.10834703408309833,-0.16437001139619445
-0.1523780595818236,-0.1084090131970149,-0.18893813495504988
-0.1527431282108777,-0.1083849143971449,-0.1767677278170534
-0.1529492432060954,-0.10343310340468789,-0.1975609062473222
-0.1548020977600242,-0.10833486305839761,-0.14130943998216644
-0.15485834824044648,-0.1077544298470283,-0.1774758504241579
-0.1557903979622724,-0.10824230183808334,-0.178108334224297
-0.15599056097257852,-0.10793372974676321,-0.17814842044627308
-0.1563909006043525,-0.10826896920529083,-0.186401921036041
-0.1572228633270994,-0.10829740294688084,-0.19188830017389544
-0.15725732069144066,-0.10820906654231048,-0.19355249437923067
-0.15728853639961665,-0.10842118119689939,-0.18142791046010331
-0.15736345886557437,-0.1083482777596055,-0.19722524098220848
-0.15743463883547537,-0.10631420516962137,-0.18630269758230725
-0.15804195160838572,-0.10833396547476196,-0.18281349872379923
-0.15807048439447988,-0.10841807128844158,-0.16211620335493085
-0.15809361807867342,-0.10831134622185903,0.3815408315475792
-0.1581466306454813,-0.10840085376481418,-0.19080901907721984
-0.1584923519730349,-0.10821142770111097,-0.1600927733682223
-0.15922013663493464,-0.1064779522722939,-0.19614080461548217
-0.1593395590032398,-0.10829887039289485,-0.18068907740579504
-0.15959687755942398,-0.10816573109251101,-0.16828811759411766
-0.1597776782422529,-0.10838289254098066,-0.18116193253703766
-0.1599532666515598,-0.10841063217681761,-0.19328131643515906
-0.16000064275968306,-0.10842116765898333,-0.17969063951687678
-0.16001919671859002,-0.10826476773385255,-0.16678428861178607
-0.16016399229057984,-0.10841808030726935,-0.18690347052280712
-0.1606234261540386,-0.10724718302179224,-0.19770852970467073
-0.16071421197262728,-0.10826251764277124,-0.1857380854364959
-0.16073312057889003,-0.10836321251513958,-0.17806728970662686
-0.16081221034493456,-0.10793924820636805,-0.18787236989550332
-0.1608309142654767,-0.10841872486668044,-0.1965188111997808
-0.16114715568207733,-0.10829094318128149,-0.1907596318162128
-0.16120666463071026,-0.10684225965750217,-0.19642622373105856
-0.1613111023720149,-0.09764522677858327,-0.19547556818468179
-0.1613277653615077,0.03713088219887844,-0.18432533782677785
-0.1614571872936883,-0.1084177234660116,-0.1774630783440332
-0.1615213795574604,-0.10839992067548632,-0.1940655250731583
-0.16156464495456632,-0.10830757911708322,-0.15748662880150896
-0.16160142634948446,-0.10834051147459087,-0.18188323572587978
-0.16187380368096818,-0.10807953949891692,-0.17108692000573944
-0.16188855210599848,-0.10838851862894239,-0.18963919566327725
-0.16191350361105333,-0.10838836943154363,-0.1877693774685374
-0.16193423976206586,-0.10840932884563566,-0.1942207591849547
-0.16197269234548267,-0.10842118385000797,-0.19451162377952147
-0.16201952111234408,-0.10257776480563423,-0.1882125188438429
-0.16207100336736122,-0.10834747526666395,-0.1903400236033348
-0.1621600052522537,-0.10522777663316177,-0.18416763954481796
-0.1622344657499361,-0.10841893166492034,-0.19509692763364206
-0.16237077268916053,-0.10834069916267489,-0.19087970991424677
-0.16245391874972148,-0.10833671131442621,-0.1763307013738806
-0.1624866481112788,-0.10691407188665987,-0.1909755504466787
-0.16257789460001948,-0.10837800131520828,-0.18950882267245014
-0.16261513671430294,-0.10833100490713217,-0.19420373545296937
-0.16264544151909643,-0.10685083959030728,-0.19210479276362094
-0.16279830234588022,-0.10778668941854437,-0.19064946417217163
-0.16297439461172478,-0.10837152977501642,-0.18966849633662192
-0.1631264612370654,-0.10829177619375183,-0.19421774955674664
